STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,22700000,
9432.T,0.004633895,979554200,0.004486098,-144774.8798,-3.19,2013-11-12,2013-12-03,15,49.32661211,29.38931706,635.7363473,22555225.12,-0.637774801
2811.T,1537.422119,2800,1552.82373,43124.51172,1,2013-11-18,2013-12-03,11,45.07927655,35.03358072,571.5509675,22598349.63,-0.447798978
5105.T,856.5593872,5300,871.3277588,78272.36938,1.72,2013-11-11,2013-12-05,18,27.09093483,16.90628156,539.3931709,22676622,-0.102986779
9022.T,1740.245605,2700,1664.282715,-205099.8047,-4.37,2013-11-14,2013-12-05,15,26.2903429,18.16791374,595.9790702,22471522.2,-1.006510147
8308.T,352.5487061,12700,341.111084,-145257.8003,-3.24,2013-11-15,2013-12-06,15,47.56763994,36.35806638,618.1126974,22326264.4,-1.646412351
3092.T,802.6261597,3800,740.6170044,-235634.79,-7.73,2013-12-06,2013-12-13,5,33.36172046,24.38633741,344.0905804,22090629.61,-2.684451074
4739.T,786.4291992,5700,788.4404297,11464.01367,0.26,2013-12-03,2013-12-16,9,28.64023566,26.94045408,509.6567889,22102093.62,-2.633948811
4552.T,421.4270935,7800,382.0939331,-306798.6511,-9.33,2013-12-09,2013-12-20,9,42.7978352,31.20481378,489.236653,21795294.97,-3.985484719
6954.T,3419.883984,1400,3644.826172,314919.0625,6.58,2013-12-18,2013-12-27,5,74.28581001,64.03698151,393.6444982,22110214.03,-2.598176074
5334.T,1736.075928,2800,1812.874268,215035.3516,4.42,2013-12-17,2014-01-14,17,38.19175722,33.79189651,493.0515173,22325249.38,-1.650883776
4812.T,453.2297668,10100,463.530426,104036.6577,2.27,2013-12-19,2014-01-16,17,23.73196597,18.32439373,571.5411055,22429286.04,-1.192572508
9682.T,719.0513306,5300,780.4677124,325506.8237,8.54,2013-12-26,2014-01-16,14,37.77609117,29.44508777,609.3556061,22754792.86,0.241378257
8282.T,582.9858398,7500,563.041626,-149581.604,-3.42,2013-12-30,2014-01-22,16,14.42569715,10.14603173,675.0277737,22605211.26,-0.417571541
8111.T,522.670166,8500,538.3390503,133185.5164,3,2013-12-27,2014-01-23,18,18.93932042,11.52284399,602.7186534,22738396.78,0.169148796
4912.T,518.1975098,17000,474.6439514,-740410.4919,-8.4,2014-01-17,2014-01-28,7,39.36357261,30.07857319,165.014984,21997986.28,-3.092571433
2412.T,202.7796936,100,202.9975433,21.78497314,0.11,2014-01-21,2014-01-31,7,48.43593174,39.88063955,72.55609175,21998008.07,-3.092475464
2782.T,1955.966919,2600,1759.496704,-510822.5586,-10.04,2014-01-15,2014-02-03,11,81.70022898,76.2294198,29.97634874,21487185.51,-5.342795105
2801.T,1781.825928,2300,1613.449951,-387264.7461,-9.45,2014-01-22,2014-02-04,7,32.12449813,27.05178775,510.8433016,21099920.76,-7.048807203
3880.T,761.1350098,3200,857.9903564,309937.1094,12.73,2014-02-05,2014-02-13,6,10.07003526,9.865407266,632.2618031,21409857.87,-5.683445487
7282.T,1755.0271,3700,1693.075684,-229220.2393,-3.53,2014-01-29,2014-02-20,14,12.30628768,9.0999973,227.2276447,21180637.64,-6.693226277
5344.T,3357.658691,1300,3865.694824,660446.9727,15.13,2014-02-10,2014-02-28,14,40.76337568,26.80860619,679.6896804,21841084.61,-3.783768248
9613.T,723.2484131,8600,743.5841064,174886.9629,2.81,2014-02-21,2014-02-28,5,87.92161683,81.28643649,67.88494887,22015971.57,-3.013341098
6506.T,1256.250122,2500,1303.605225,118387.7563,3.77,2014-02-07,2014-03-03,16,11.28244504,6.650467112,693.9588186,22134359.33,-2.491809132
7735.T,917.0719604,3000,974.7376709,172997.1313,6.29,2014-02-06,2014-03-04,18,13.02977853,7.246736784,629.3139633,22307356.46,-1.729707232
5857.T,593.2785645,7800,582.1353149,-86917.34619,-1.88,2014-02-17,2014-03-10,15,14.00251269,11.00252858,559.5434693,22220439.11,-2.11260303
3038.T,77.52326202,56700,77.79634094,15483.57468,0.35,2014-03-05,2014-03-12,5,64.4981225,54.47476949,341.8451724,22235922.69,-2.04439345
7550.T,1004.435547,2300,928.2432861,-175242.1997,-7.59,2014-03-11,2014-03-14,3,15.65715164,12.61385176,412.8467294,22060680.49,-2.816385519
6754.T,961.0855713,13800,873.9343872,-1202686.34,-9.07,2014-03-04,2014-03-17,9,89.16959758,85.37379717,3.69242608,20857994.15,-8.11456323
9432.T,0.005164229,598500,0.004733007,-258.0865917,-8.35,2014-03-07,2014-03-25,12,85.12575277,81.37894718,83.85507924,20857736.06,-8.115700175
3254.T,541.5479126,6500,554.5419922,84461.51733,2.4,2014-03-18,2014-03-31,9,14.00339758,10.97866528,151.343311,20942197.58,-7.743623006
2702.T,2501.739258,800,2561.810791,48057.22656,2.4,2014-03-27,2014-04-07,7,37.92587443,27.4560717,613.8171069,20990254.8,-7.531917163
9613.T,715.5983276,14100,654.9996338,-854441.5833,-8.47,2014-03-31,2014-04-11,9,30.89554278,20.29761485,620.1944152,20135813.22,-11.295977
4202.T,660.9467163,5900,631.8113403,-171898.7183,-4.41,2014-03-24,2014-04-14,15,39.54023451,27.33934371,646.4798343,19963914.5,-12.05324008
3402.T,574.968689,2600,564.0568237,-28370.84961,-1.9,2014-03-26,2014-04-16,15,33.63126188,18.13843612,600.4531447,19935543.65,-12.17822179
6754.T,931.8024902,2100,935.0578003,6836.151123,0.35,2014-04-17,2014-04-23,2,43.38663558,40.01218811,481.1450418,19942379.8,-12.14810659
4704.T,2417.699707,1400,2432.85791,21221.48438,0.63,2014-03-28,2014-04-25,18,22.3712777,18.38147021,581.431421,19963601.29,-12.05461987
3769.T,839.6359253,4000,748.9598999,-362704.1016,-10.8,2014-04-15,2014-04-30,9,6.423904558,4.621669982,363.0493309,19600897.19,-13.6524353
4521.T,2550.434814,600,2817.682129,160348.3887,10.48,2014-04-16,2014-05-01,8,80.72881967,69.80900846,400.9320458,19761245.58,-12.94605473
2670.T,797.508728,4600,863.8939819,305372.168,8.32,2014-04-25,2014-05-13,10,30.1923841,18.19240947,478.6274764,20066617.74,-11.60080289
3880.T,1034.643799,3200,1001.623413,-105665.2344,-3.19,2014-04-18,2014-05-14,15,33.4188352,25.35634606,557.620079,19960952.51,-12.06628851
3360.T,1607.980225,1400,1472.87439,-189148.1689,-8.4,2014-05-08,2014-05-15,5,25.24962827,16.73062966,653.6721225,19771804.34,-12.89954035
6465.T,1882.711426,2100,1887.024536,9057.531738,0.23,2014-05-13,2014-05-19,4,70.33074241,68.07774972,388.0986499,19780861.87,-12.85963933
6586.T,2425.141113,1000,2447.390137,22249.02344,0.92,2014-05-01,2014-05-22,14,30.37044964,21.88419694,572.9465008,19803110.9,-12.76162601
5947.T,2784.492513,2900,2934.05957,433744.4661,5.37,2014-04-23,2014-05-26,21,44.71850778,38.37957248,482.8176841,20236855.36,-10.85085744
5020.T,346.4334717,8800,364.2344055,156648.2178,5.14,2014-05-20,2014-06-02,8,59.64277338,58.52706962,396.0382021,20393503.58,-10.16077718
1802.T,491.5230408,17400,528.4450684,642443.28,7.51,2014-05-26,2014-06-06,8,46.13334941,31.0985526,585.961216,21035946.86,-7.330630575
1911.T,824.5378418,3900,884.7008667,234635.7971,7.3,2014-05-14,2014-06-10,18,64.444403,42.56775098,475.0897514,21270582.66,-6.296992703
2897.T,4207.907715,1200,4444.406738,283798.8281,5.62,2014-05-22,2014-06-10,12,27.34691704,19.1371281,547.497316,21554381.48,-5.046777601
7453.T,871.2233887,400,851.8110352,-7764.941406,-2.23,2014-05-23,2014-06-13,14,54.36122674,47.69709408,546.3199917,21546616.54,-5.080984391
2502.T,2536.007324,3600,2549.181152,47425.78125,0.52,2014-06-06,2014-06-13,5,84.30659192,76.10715977,207.8543785,21594042.32,-4.872060245
4912.T,530.6412354,16900,531.5302124,15023.71216,0.17,2014-06-11,2014-06-16,3,89.70900193,83.87805247,131.7746789,21609066.04,-4.805876491
6849.T,2040.178467,1500,2199.153076,238461.9141,7.79,2014-06-02,2014-06-19,13,71.98600414,66.15808887,310.3283168,21847527.95,-3.755383477
1928.T,942.8378296,10900,974.6428833,346675.0854,3.37,2014-06-17,2014-06-26,7,71.57155322,70.48980628,341.6899344,22194203.04,-2.228180458
9508.T,902.9321289,5500,1047.940674,797546.9971,16.06,2014-06-18,2014-07-03,10,15.2940628,11.73776759,360.1108652,22991750.03,1.285242437
9509.T,648.9368286,5000,726.3330078,386980.896,11.93,2014-06-13,2014-07-10,18,47.1138992,39.08146634,444.0623559,23378730.93,2.990004093
4967.T,2990.4729,1100,2908.040039,-90676.14746,-2.76,2014-06-19,2014-07-10,14,19.72600108,13.33865023,600.5462912,23288054.78,2.590549699
6920.T,228.8624878,200,216.0080414,-2570.889282,-5.62,2014-06-23,2014-07-14,14,68.3389381,58.40477605,109.4904109,23285483.89,2.579224196
4536.T,957.9520264,11100,1015.294312,636499.3652,5.99,2014-06-26,2014-07-22,17,39.67198456,32.28234381,561.4776578,23921983.26,5.383186157
2371.T,1481.354126,1300,1488.240112,8951.782227,0.46,2014-07-15,2014-07-24,7,14.06370625,9.646143838,660.3594538,23930935.04,5.422621321
6506.T,1182.156006,4800,1231.525024,236971.2891,4.18,2014-07-04,2014-07-29,17,42.29253384,26.35143001,681.5933111,24167906.33,6.466547705
8850.T,1308.318359,7000,1349.60022,288973.0225,3.16,2014-07-25,2014-08-05,7,44.01029039,31.81279428,734.4274832,24456879.35,7.739556614
2670.T,977.1917725,1600,1000.205444,36821.875,2.36,2014-07-14,2014-08-07,18,39.38907478,29.8634751,563.925361,24493701.23,7.901767517
2412.T,191.0563812,38700,203.5408325,483148.2651,6.53,2014-07-22,2014-08-08,13,38.4615091,28.66062196,620.2400311,24976849.49,10.03017397
8308.T,406.4981689,14600,375.1863708,-457152.2522,-7.7,2014-07-29,2014-08-08,8,29.15214665,20.62528943,614.923243,24519697.24,8.016287398
7203.T,869.4034424,100,847.0057373,-2239.770508,-2.58,2014-07-28,2014-08-18,15,51.48207133,43.15461514,578.5500216,24517457.47,8.006420567
7272.T,1372.819092,8000,1384.373413,92434.57031,0.84,2014-08-07,2014-08-18,7,53.76003382,25.36598521,532.3872092,24609892.04,8.413621318
8279.T,2752.978271,1700,2970.677246,370088.2568,7.91,2014-08-11,2014-08-26,11,53.3316564,40.06160372,669.3347404,24979980.3,10.04396606
9065.T,2045.956909,2200,2054.189941,18112.6709,0.4,2014-08-12,2014-08-26,10,28.00002271,22.1693447,674.0814519,24998092.97,10.12375756
7419.T,134.9690247,31500,136.0267944,33319.74792,0.78,2014-08-13,2014-08-26,9,8.841893556,5.201668773,610.1949565,25031412.71,10.27054059
6367.T,5945.189453,1000,6340.874512,395685.0586,6.66,2014-08-18,2014-09-05,14,23.78985749,21.58376361,563.3578643,25427097.77,12.01364658
2146.T,568.704895,24800,523.4258423,-1122920.508,-7.96,2014-08-27,2014-09-05,7,47.09671791,36.83865053,315.7591911,24304177.27,7.066860201
4523.T,3524.79248,1400,3457.195068,-94636.37695,-1.92,2014-08-19,2014-09-09,14,46.89554699,37.84990491,520.7452938,24209540.89,6.649959862
7419.T,136.2383575,200,137.7192078,296.1700439,1.09,2014-09-01,2014-09-11,7,30.3709649,28.7269709,8.655710049,24209837.06,6.651264576
9989.T,2004.163696,2200,2076.181641,158439.4775,3.59,2014-09-11,2014-10-01,13,21.84234541,14.38195572,534.5835918,24368276.54,7.349235842
4921.T,590.0637207,11000,582.4133301,-84154.29688,-1.3,2014-09-08,2014-10-02,15,50.75994142,46.91980813,403.6225786,24284122.24,6.978512067
3349.T,6415.555176,700,6521.357422,74061.57227,1.65,2014-09-10,2014-10-02,14,23.3943478,14.42184928,607.7164918,24358183.81,7.3047745
2229.T,3079.343262,1400,3101.401855,30882.03125,0.72,2014-09-19,2014-10-06,9,22.3414398,13.98873577,602.9772468,24389065.84,7.440818691
8279.T,2780.190186,1600,3085.312256,488195.3125,10.97,2014-09-18,2014-10-07,11,21.37500522,12.18377351,630.800791,24877261.16,9.591458834
4587.T,1118.75,8800,1147.5,253000,2.57,2014-10-06,2014-10-20,10,12.50380169,9.817945054,391.8121091,25130261.16,10.70599628
7701.T,858.3605957,6100,845.576416,-77983.49609,-1.49,2014-10-03,2014-10-27,16,55.00305262,49.61438612,353.0414245,25052277.66,10.36245665
7419.T,131.4243774,76900,138.9650879,579880.6335,5.74,2014-10-20,2014-10-31,9,16.23173929,12.51973756,519.5665072,25632158.29,12.91699688
8282.T,610.0594482,2900,563.8130493,-134114.5569,-7.58,2014-10-27,2014-11-06,8,27.4280709,25.06289187,651.114035,25498043.74,12.32618386
4612.T,432.4237366,4000,461.973938,118200.8057,6.83,2014-10-29,2014-11-10,8,33.69948533,19.97639865,10.18560847,25616244.54,12.84689225
3107.T,310.0847778,5300,314.8069153,25027.32849,1.52,2014-10-30,2014-11-13,10,10.47622847,7.557635793,71.34610659,25641271.87,12.9571448
8053.T,734.7044067,13300,849.5545654,1527507.111,15.63,2014-10-15,2014-11-14,22,3.813170854,3.397467983,398.9440296,27168778.98,19.68625102
9983.T,12444.4541,800,13421.75879,781843.75,7.85,2014-10-31,2014-11-18,12,44.15246863,30.16591949,649.3639013,27950622.73,23.13049661
1332.T,314.569458,7500,356.4550171,314141.6931,13.32,2014-11-07,2014-11-18,7,83.03128472,75.08889466,152.4974776,28264764.42,24.51438072
8279.T,3281.277344,500,3290.392334,4557.495117,0.28,2014-11-11,2014-11-18,5,75.95107944,65.32893599,124.5883134,28269321.92,24.53445779
3549.T,2719.691895,600,2788.692383,41400.29297,2.54,2014-11-13,2014-11-27,10,82.67699135,72.37045893,249.8481581,28310722.21,24.71683794
8892.T,169.4408417,100,151.8366089,-1760.423279,-10.39,2014-11-19,2014-11-27,6,86.62098701,83.30260661,19.3946396,28308961.79,24.70908277
4613.T,1592.89917,9600,1779.821289,1794452.344,11.73,2014-11-18,2014-12-02,10,73.97883375,68.4530199,229.6385694,30103414.13,32.61415917
2282.T,4188.229492,2700,4134.447754,-145210.6934,-1.28,2014-11-14,2014-12-08,16,49.1093114,40.8368795,484.9218193,29958203.44,31.97446449
4921.T,690.3665161,800,780.1051636,71790.91797,13,2014-12-01,2014-12-12,9,27.34015676,15.66975911,571.0656728,30029994.36,32.29072404
4521.T,4115.622559,2100,3769.010986,-727884.3018,-8.42,2014-12-04,2014-12-16,8,27.41355356,14.14917713,662.7789822,29302110.06,29.08418527
2914.T,2132.703369,2800,1884.615967,-694644.7266,-11.63,2014-12-12,2014-12-17,3,8.746035733,8.135399435,498.5393567,28607465.33,26.02407634
2670.T,1078.400635,600,1060.306641,-10856.39648,-1.68,2014-11-28,2014-12-19,15,24.77277928,21.00005104,617.032605,28596608.93,25.9762508
3167.T,421.8089294,20900,414.1117859,-160870.3003,-1.82,2014-12-02,2014-12-24,16,49.33294856,44.21713189,570.9771212,28435738.63,25.26757107
9022.T,2421.006104,1800,2504.937988,151077.3926,3.47,2014-12-17,2015-01-07,12,26.61789873,22.91825927,608.4035529,28586816.02,25.93311024
2871.T,942.206543,1900,974.2064209,60799.76807,3.4,2014-12-19,2015-01-07,10,56.211174,44.03881428,642.5799826,28647615.79,26.20095063
9435.T,6023.947266,800,5339.617188,-547464.0625,-11.36,2014-12-24,2015-01-08,8,19.67216397,8.83890215,682.0535296,28100151.73,23.78921467
9449.T,912.3288574,5400,873.8869629,-207586.2305,-4.21,2014-12-18,2015-01-13,15,38.79304804,32.04655436,565.9082435,27892565.5,22.87473788
9064.T,2206.23999,1400,2203.568115,-3740.625,-0.12,2014-12-22,2015-01-15,15,18.2812423,13.99862109,693.670947,27888824.87,22.85825936
6952.T,1428.145386,1300,1460.347046,41862.1582,2.25,2015-01-15,2015-01-19,2,19.69756983,16.18038219,637.3675808,27930687.03,23.04267415
2784.T,1175.189331,4500,1207.99707,147634.8267,2.79,2015-01-19,2015-01-27,6,46.03541697,38.84015881,481.9840421,28078321.86,23.69304784
6098.T,1110.199219,6100,1057.918091,-318914.8804,-4.71,2015-01-08,2015-01-30,16,37.23700205,23.94301802,12.53506339,27759406.98,22.28813647
8035.T,2624.73763,2100,2419.618164,-430750.8789,-7.81,2015-01-23,2015-02-03,7,28.72558627,18.90506892,585.201523,27328656.1,20.39055551
7747.T,755.0831299,3600,759.8773193,17259.08203,0.63,2015-02-04,2015-02-05,1,58.46645624,57.54909609,229.1819045,27345915.18,20.46658671
3861.T,339.8073425,15600,393.1586609,832280.5664,15.7,2015-01-20,2015-02-09,14,27.40738769,21.26516975,487.6228969,28178195.75,24.13302092
7167.T,365.4953003,28600,366.2519531,21640.271,0.21,2015-01-27,2015-02-09,9,39.55087686,25.48992619,472.6662259,28199836.02,24.22835251
4684.T,3569.469727,1000,3740.085938,170616.2109,4.78,2015-01-30,2015-02-10,7,59.01642416,39.86496461,632.0661334,28370452.23,24.97996577
7419.T,363.8946838,11100,386.7323608,253498.2147,6.28,2015-02-06,2015-02-17,7,53.77183855,34.8921081,463.3459045,28623950.45,26.096698
1928.T,1107.141602,18500,1187.215454,1481366.272,7.23,2015-02-09,2015-02-24,9,38.01919008,27.40166548,346.0448626,30105316.72,32.6225406
4544.T,4057.229736,900,4167.08252,98867.50488,2.71,2015-02-12,2015-02-24,6,54.20374011,45.59963699,483.9491177,30204184.22,33.05808027
5110.T,1426.47229,100,1484.784912,5831.262207,4.09,2015-02-16,2015-02-24,4,59.95814829,45.67011076,532.4623934,30210015.48,33.08376865
5105.T,1842.652466,2300,2072.984131,529762.8296,12.5,2015-02-17,2015-02-27,6,26.17013513,21.11471924,583.5799328,30739778.31,35.41752561
9759.T,670.0670776,100,710.1175537,4005.047607,5.98,2015-02-18,2015-03-02,6,41.81932642,28.86955866,572.7991457,30743783.36,35.43516899
7419.T,386.9477844,200,473.1277161,17235.98633,22.27,2015-03-03,2015-03-04,1,68.94074706,64.51704664,280.2895254,30761019.35,35.51109845
4061.T,1768.361084,100,1775.88623,752.5146484,0.43,2015-03-02,2015-03-10,6,65.70299716,52.17082065,509.0451151,30761771.86,35.51441349
3402.T,843.3901978,30700,859.4468994,492940.741,1.9,2015-02-24,2015-03-13,13,57.12559947,49.42536122,581.059272,31254712.6,37.68595861
3436.T,1852.228516,14200,1861.212036,127565.9912,0.49,2015-03-13,2015-03-18,3,56.27123298,46.71686587,483.6139077,31382278.59,38.24792332
5714.T,4134.931641,1100,4193.583008,64516.50391,1.42,2015-02-27,2015-03-19,14,46.3463668,38.7339854,469.0329511,31446795.1,38.532137
4612.T,789.2283936,100,860.8095703,7158.117676,9.07,2015-03-05,2015-03-19,10,77.01710244,74.44184047,108.1435447,31453953.22,38.56367056
7177.T,704.0404663,200,814.9189453,22175.6958,15.75,2015-03-11,2015-03-23,8,64.1706187,62.61525375,415.1677527,31476128.91,38.66136085
9090.T,141.1596375,300,148.2483215,2126.605225,5.02,2015-03-06,2015-03-25,13,64.79813483,62.40349911,372.8422508,31478255.52,38.67072915
3861.T,416.9616699,11300,417.8235168,9738.870239,0.21,2015-03-20,2015-04-01,8,47.18361014,42.27837529,551.7807989,31487994.39,38.71363166
8308.T,442.9476624,59900,438.3396606,-276019.3024,-1.04,2015-03-18,2015-04-08,12,19.75312749,14.88630816,594.8546572,31211975.09,37.4976876
6005.T,1258.91272,100,1226.627686,-3228.503418,-2.56,2015-03-23,2015-04-13,12,41.46545879,30.58835971,668.1343926,31208746.58,37.48346512
8002.T,507.0009155,100,492.4602356,-1454.067993,-2.87,2015-03-25,2015-04-15,12,44.44043593,29.31889748,624.5555303,31207292.51,37.47705953
7272.T,2138.072021,2200,2152.665771,32106.25,0.68,2015-04-02,2015-04-21,10,35.98145303,25.84423118,579.7935188,31239398.76,37.61849676
7167.T,383.4528809,100,384.9805298,152.7648926,0.4,2015-03-30,2015-04-27,17,38.37355064,21.05197857,619.2253649,31239551.53,37.61916973
3861.T,441.8650513,100,442.6939392,82.88879395,0.19,2015-04-16,2015-04-30,10,84.53670498,78.80754865,101.4984123,31239634.42,37.61953488
5233.T,3066.903564,8500,3141.90918,637547.7295,2.45,2015-04-08,2015-05-01,16,17.47792481,13.28258843,661.418818,31877182.15,40.42811518
6952.T,1933.161011,2400,1951.866699,44893.65234,0.97,2015-04-21,2015-05-01,7,71.40131048,62.45507027,328.1373009,31922075.8,40.62588458
6268.T,2786.392822,100,2538.713867,-24767.89551,-8.89,2015-04-14,2015-05-11,18,28.04875982,23.11618027,593.4481292,31897307.9,40.51677491
6981.T,1209.528809,100,1375.707275,16617.84668,13.74,2015-04-28,2015-05-20,15,45.77771856,37.97188331,486.6533291,31913925.75,40.58998128
4205.T,955.8399658,200,989.2432861,6680.664063,3.49,2015-05-11,2015-05-26,10,28.35279881,18.68810923,595.9578683,31920606.41,40.61941152
8905.T,1881.912231,16700,1950.540649,1146094.58,3.65,2015-05-08,2015-05-27,12,11.24005502,7.253084238,466.6345546,33066700.99,45.66828632
8876.T,910.369873,100,933.2435303,2287.365723,2.51,2015-05-12,2015-05-28,11,8.804548528,5.25680055,620.5846469,33068988.36,45.67836282
9432.T,0.026591366,5595400,0.027072296,2690.992307,1.81,2015-05-20,2015-05-29,6,68.12175461,57.15378746,547.9731406,33071679.35,45.69021741
8892.T,184.8445587,200,187.0805664,447.2015381,1.21,2015-05-13,2015-06-02,13,29.77693384,21.93462413,526.8469921,33072126.55,45.69218746
5019.T,1836.713745,17800,1937.747925,1798408.398,5.5,2015-05-27,2015-06-15,13,44.03361582,29.49532506,612.8977881,34870534.95,53.61469142
4182.T,1102.283325,100,1116.023926,1374.060059,1.25,2015-05-29,2015-06-15,11,77.61756267,76.93220171,204.4275458,34871909.01,53.62074455
1951.T,1124.828125,100,1154.572876,2974.475098,2.64,2015-05-28,2015-06-16,13,53.14826836,44.59268395,488.9618003,34874883.49,53.63384796
3941.T,465.9665527,100,426.0265808,-3993.997192,-8.57,2015-06-02,2015-06-16,10,57.33335257,49.57624,366.6753918,34870889.49,53.61625326
4848.T,614.9393921,100,681.0349731,6609.558105,10.75,2015-06-01,2015-06-22,15,9.932671556,7.713155527,416.9497805,34877499.05,53.64537026
3349.T,8061.606445,1100,8611.918945,605343.75,6.83,2015-06-19,2015-07-01,7,37.26184649,28.16765073,576.6214806,35482842.8,56.31208281
6902.T,681.3148804,9500,628.6264038,-500540.5273,-7.73,2015-06-24,2015-07-06,7,33.38914554,22.88855268,627.8845824,34982302.27,54.10705846
4732.T,1773.940918,3700,1691.858887,-303703.5156,-4.63,2015-06-22,2015-07-13,14,10.30029699,7.328071597,634.4296767,34678598.76,52.76915751
5393.T,1215.358032,5400,1169.644165,-246854.8828,-3.76,2015-06-23,2015-07-14,14,29.93476273,15.22951457,589.7523023,34431743.87,51.68169107
2317.T,62.03227997,200,62.41052628,75.64926147,0.61,2015-07-03,2015-07-14,7,76.42893476,69.69059968,142.9663939,34431819.52,51.68202433
2371.T,1538.837524,10300,1713.291138,1796872.217,11.34,2015-07-01,2015-07-24,17,6.536818065,5.645933104,184.7782485,36228691.74,59.59776096
3107.T,368.0788269,11500,374.5648193,74588.91296,1.76,2015-07-13,2015-07-27,10,16.69997829,10.98570539,580.3772253,36303280.65,59.92634648
3254.T,880.3952637,4700,881.4445801,4931.787109,0.12,2015-07-15,2015-07-28,9,25.00969809,14.4891484,587.4819383,36308212.44,59.94807242
5334.T,2477.05127,2400,2353.010498,-297697.8516,-5.01,2015-07-07,2015-07-29,16,5.874611436,5.361705129,647.1019848,36010514.59,58.63662814
4005.T,541.2142944,7800,485.6464233,-433429.3945,-10.27,2015-07-14,2015-08-04,15,19.55659842,13.71962467,603.0744979,35577085.19,56.72724755
7202.T,1245.421875,6400,1324.483765,505996.0938,6.35,2015-07-29,2015-08-07,7,62.87800149,55.84284675,40.65511794,36083081.29,58.95630523
4816.T,1150.482788,7000,1291.899292,989915.5273,12.29,2015-07-30,2015-08-10,7,19.04522538,16.27597231,399.8900699,37072996.81,63.31716658
9064.T,2459.52002,3300,2503.360107,144672.29,1.78,2015-07-31,2015-08-10,6,84.88737589,79.47222834,191.7540812,37217669.1,63.95448944
9962.T,1472.757324,7300,1475.5625,20477.7832,0.19,2015-08-07,2015-08-13,4,26.71541578,23.0975315,475.4227385,37238146.89,64.04469994
7701.T,1901.691895,9100,1747.945923,-1399088.342,-8.08,2015-08-10,2015-08-13,3,68.70009152,59.38976037,446.9360627,35839058.54,57.88131518
6890.T,739.8102417,12100,839.6461792,1208014.844,13.49,2015-08-13,2015-08-17,2,29.99996829,26.44090732,438.2371624,37047073.39,63.20296647
4523.T,7126.122559,600,6383.472656,-445589.9414,-10.42,2015-08-05,2015-08-24,13,38.4459407,28.38852034,440.397014,36601483.45,61.24001519
1417.T,971.8504639,9600,872.2950439,-955732.0313,-10.24,2015-08-17,2015-08-24,5,10.20273055,9.218653672,367.6299602,35645751.42,57.02974192
6753.T,1570.92627,3100,1580.113159,28479.35791,0.58,2015-08-06,2015-08-26,14,44.00001232,38.68463225,434.8632516,35674230.77,57.15520165
7309.T,13597.65723,600,14539.24609,564953.3203,6.92,2015-08-26,2015-09-07,7,10.2237073,4.411125817,624.3844547,36239184.09,59.64398279
2802.T,2333.427734,3000,2123.224609,-630609.375,-9.01,2015-08-28,2015-09-08,6,16.60954903,7.28080385,611.3370268,35608574.72,56.86596793
9759.T,599.3683472,11500,602.236145,32979.67529,0.48,2015-08-27,2015-09-09,8,15.19238729,9.049622734,621.7985607,35641554.39,57.01125284
3360.T,1157.742676,5900,1177.72644,117904.2114,1.73,2015-09-03,2015-09-09,4,23.54429688,20.58399097,519.9497956,35759458.61,57.53065465
2897.T,4736.598633,2300,4745.638672,20792.08984,0.19,2015-09-11,2015-09-16,3,12.07663876,8.095464696,599.3600798,35780250.7,57.62224976
1719.T,534.0261841,30200,548.8395996,447365.1489,2.77,2015-09-16,2015-09-17,1,49.67317106,49.4117376,391.0709443,36227615.84,59.59302134
4816.T,1280.114624,12900,1293.372559,171027.356,1.04,2015-09-17,2015-09-28,6,51.32151373,44.79843097,249.6264639,36398643.2,60.34644582
4042.T,894.9558716,16000,905.5921021,170179.6875,1.19,2015-09-09,2015-10-01,14,38.08273011,27.12593163,16.47038406,36568822.89,61.09613607
2702.T,2517.388916,6700,2532.3396,100169.5801,0.59,2015-09-28,2015-10-05,4,78.27909166,71.86239566,312.1784212,36668992.47,61.53741175
2875.T,3952.282959,1300,3961.174316,11558.76465,0.22,2015-09-25,2015-10-09,8,31.82678616,23.99170585,11.79013695,36680551.23,61.58833142
8697.T,1519.811035,9500,1577.16272,544841.0034,3.77,2015-10-01,2015-10-14,9,37.57837574,23.26111943,26.0299206,37225392.24,63.98851205
9069.T,691.4060669,100,698.5667114,716.0644531,1.04,2015-10-02,2015-10-15,9,52.24848616,39.9903973,284.5293435,37226108.3,63.99166652
9517.T,438.4754333,200,394.5057373,-8793.939209,-10.03,2015-10-20,2015-10-29,6,86.23559406,80.51129304,207.2912979,37217314.36,63.9529267
4348.T,476.375824,35700,480.9475708,163211.3617,0.96,2015-10-05,2015-10-30,18,28.32304085,22.12429774,280.9796067,37380525.72,64.67191949
1820.T,1740.687622,2900,1643.982666,-280444.3726,-5.56,2015-10-09,2015-11-02,15,26.18240549,18.57709277,569.6669317,37100081.35,63.43648172
4980.T,1157.813599,13000,1059.17627,-1282285.278,-8.52,2015-10-15,2015-11-04,13,18.87851091,16.85671121,158.4105425,35817796.07,57.7876479
9432.T,0.039898116,353100,0.040669926,272.5258883,1.93,2015-10-21,2015-11-05,11,94.97761861,92.18667855,28.44655853,35818068.6,57.78884845
7419.T,632.9332275,100,652.1793213,1924.609375,3.04,2015-10-29,2015-11-05,5,63.29683159,62.69859909,365.0511078,35819993.21,57.79732691
