stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9626.HK,242.39999389648438,137,271.0,3918.2008361816406,2022-01-31,2022-02-09
9868.HK,138.89999389648438,240,157.1999969482422,4392.000732421875,2022-02-04,2022-02-10
2269.HK,61.599998474121094,608,58.29999923706055,-2006.3995361328125,2022-02-09,2022-02-10
0388.HK,435.4007568359375,76,427.388427734375,-608.93701171875,2022-02-07,2022-02-17
2269.HK,58.29999923706055,627,64.80000305175781,4075.5023918151855,2022-02-10,2022-02-17
3690.HK,180.5,202,171.3000030517578,-1858.3993835449219,2022-02-21,2022-02-22
2382.HK,190.8754425048828,192,182.3612823486328,-1634.71875,2022-02-14,2022-02-24
9626.HK,248.60000610351562,143,227.1999969482422,-3060.2013092041016,2022-02-23,2022-02-24
9626.HK,227.1999969482422,148,250.1999969482422,3404.0,2022-02-24,2022-03-01
0388.HK,381.0733642578125,89,355.4730529785156,-2278.427703857422,2022-02-25,2022-03-02
3690.HK,171.3000030517578,208,164.8000030517578,-1352.0,2022-02-22,2022-03-04
0700.HK,428.9824523925781,86,401.3125915527344,-2379.6080322265625,2022-03-01,2022-03-04
0388.HK,355.4730529785156,89,332.2178039550781,-2069.7171630859375,2022-03-02,2022-03-07
2382.HK,155.82879638671875,221,146.4236297607422,-2078.5418243408203,2022-03-04,2022-03-08
1211.HK,189.8257598876953,170,178.93003845214844,-1852.2726440429688,2022-03-09,2022-03-14
9626.HK,171.3000030517578,188,127.5999984741211,-8215.600860595703,2022-03-08,2022-03-15
9618.HK,175.80923461914062,173,158.13064575195312,-3058.3958740234375,2022-03-14,2022-03-15
9618.HK,158.13064575195312,162,214.48727416992188,9129.773803710938,2022-03-15,2022-03-16
0388.HK,332.21783447265625,96,378.4905090332031,4442.1767578125,2022-03-07,2022-03-17
9961.HK,179.0,187,205.60000610351562,4974.201141357422,2022-03-17,2022-03-24
0700.HK,365.28204345703125,82,364.6848449707031,-48.97027587890625,2022-03-16,2022-03-28
2382.HK,123.65322875976562,274,114.34706115722656,-2549.889923095703,2022-03-28,2022-04-07
0316.HK,176.39736938476562,192,166.297607421875,-1939.154296875,2022-03-29,2022-04-07
0316.HK,166.297607421875,195,177.79043579101562,2241.101531982422,2022-04-07,2022-04-19
0388.HK,351.5826416015625,92,327.4447326660156,-2220.6876220703125,2022-04-08,2022-04-19
9626.HK,210.8000030517578,154,183.5,-4204.200469970703,2022-04-12,2022-04-19
9626.HK,182.1999969482422,171,169.89999389648438,-2103.300521850586,2022-04-20,2022-04-22
0700.HK,346.3709716796875,90,325.8674011230469,-1845.3213500976562,2022-04-21,2022-04-25
9626.HK,169.89999389648438,171,159.8000030517578,-1727.0984344482422,2022-04-22,2022-04-25
9626.HK,159.8000030517578,177,180.1999969482422,3610.7989196777344,2022-04-25,2022-04-28
0388.HK,327.4447326660156,94,334.17169189453125,632.3341674804688,2022-04-19,2022-04-29
0700.HK,334.2280578613281,85,375.6333312988281,3519.4482421875,2022-04-26,2022-04-29
